seconds	speed	acc_on	acc_active	acc_gap_setting	acc_set_speed	acc_dist	gps_lat	gps_long	gps_heading	vsl_last_update	vsl_speed	vsl_mode
58096.284	27.08	1	1	3	27.72	0	37.934311166667	-122.32693200000	170.4	22	65	1
58096.334	27.08	1	1	3	27.72	0	37.934311166667	-122.32693200000	170.4	22	65	1
58096.385	27.06	1	1	3	27.72	0	37.934311166667	-122.32693200000	170.4	22	65	1
58096.433	27.06	1	1	3	27.72	0	37.934263166667	-122.32692100000	169.8	22	65	1
58096.484	27.06	1	1	3	27.72	0	37.934263166667	-122.32692100000	169.8	22	65	1
58096.533	27.06	1	1	3	27.72	0	37.934263166667	-122.32692100000	169.8	22	65	1
58096.585	27.03	1	1	3	27.72	0	37.934263166667	-122.32692100000	169.8	22	65	1
58096.634	27.03	1	1	3	27.72	0	37.934263166667	-122.32692100000	169.8	22	65	1
58096.683	26.97	1	1	3	27.72	0	37.934215333333	-122.32690916667	169.0	22	65	1
58096.733	26.97	1	1	3	27.72	0	37.934215333333	-122.32690916667	169.0	22	65	1
58096.785	26.97	1	1	3	27.72	0	37.934215333333	-122.32690916667	169.0	22	65	1
58096.834	26.97	1	1	3	27.72	0	37.934167500000	-122.32689683333	168.5	22	65	1
58096.884	27.00	1	1	3	27.72	0	37.934167500000	-122.32689683333	168.5	22	65	1
58096.934	27.00	1	1	3	27.72	0	37.934167500000	-122.32689683333	168.5	22	65	1
58096.985	27.03	1	1	3	27.72	0	37.934167500000	-122.32689683333	168.5	22	65	1
58097.034	27.03	1	1	3	27.72	0	37.934119833333	-122.32688400000	168.0	22	65	1
58097.084	27.06	1	1	3	27.72	0	37.934119833333	-122.32688400000	168.0	22	65	1
58097.134	27.06	1	1	3	27.72	0	37.934119833333	-122.32688400000	168.0	22	65	1
58097.185	27.03	1	1	3	27.72	0	37.934072333333	-122.32687050000	167.4	22	65	1
58097.234	27.03	1	1	3	27.72	0	37.934072333333	-122.32687050000	167.4	22	65	1
58097.284	26.94	1	1	3	27.72	0	37.934072333333	-122.32687050000	167.4	22	65	1
58097.334	26.94	1	1	3	27.72	0	37.934072333333	-122.32687050000	167.4	22	65	1
58097.385	26.94	1	1	3	27.72	0	37.934072333333	-122.32687050000	167.4	22	65	1
58097.434	26.94	1	1	3	27.72	0	37.934024833333	-122.32685650000	166.9	22	65	1
58097.484	26.97	1	1	3	27.72	0	37.934024833333	-122.32685650000	166.9	22	65	1
58097.534	26.97	1	1	3	27.72	0	37.934024833333	-122.32685650000	166.9	22	65	1
58097.585	27.08	1	1	3	27.72	0	37.933977666667	-122.32684183333	166.2	22	65	1
58097.634	27.08	1	1	3	27.72	0	37.933977666667	-122.32684183333	166.2	22	65	1
58097.684	26.97	1	1	3	27.72	0	37.933977666667	-122.32684183333	166.2	22	65	1
58097.734	26.97	1	1	3	27.72	0	37.933977666667	-122.32684183333	166.2	22	65	1
58097.785	26.97	1	1	3	27.72	0	37.933930333333	-122.32682650000	165.7	22	65	1
58097.833	26.97	1	1	3	27.72	0	37.933930333333	-122.32682650000	165.7	22	65	1
58097.884	27.03	1	1	3	27.72	0	37.933930333333	-122.32682650000	165.7	22	65	1
58097.934	27.03	1	1	3	27.72	0	37.933930333333	-122.32682650000	165.7	22	65	1
58097.985	26.94	1	1	3	27.72	0	37.933883333333	-122.32681066667	165.1	22	65	1
58098.034	26.94	1	1	3	27.72	0	37.933883333333	-122.32681066667	165.1	22	65	1
58098.084	26.97	1	1	3	27.72	0	37.933883333333	-122.32681066667	165.1	22	65	1
58098.134	26.97	1	1	3	27.72	0	37.933883333333	-122.32681066667	165.1	22	65	1
58098.185	26.94	1	1	3	27.72	0	37.933836500000	-122.32679400000	164.3	22	65	1
58098.234	26.94	1	1	3	27.72	0	37.933836500000	-122.32679400000	164.3	22	65	1
58098.284	27.00	1	1	3	27.72	0	37.933836500000	-122.32679400000	164.3	22	65	1
58098.333	26.97	1	1	3	27.72	0	37.933836500000	-122.32679400000	164.3	22	65	1
58098.385	26.97	1	1	3	27.72	0	37.933836500000	-122.32679400000	164.3	22	65	1
58098.434	26.97	1	1	3	27.72	0	37.933789833333	-122.32677666667	163.7	22	65	1
58098.484	27.00	1	1	3	27.72	0	37.933789833333	-122.32677666667	163.7	22	65	1
58098.534	27.00	1	1	3	27.72	0	37.933789833333	-122.32677666667	163.7	22	65	1
58098.585	27.00	1	1	3	27.72	0	37.933789833333	-122.32677666667	163.7	22	65	1
58098.633	27.00	1	1	3	27.72	0	37.933743333333	-122.32675850000	162.9	22	65	1
58098.684	26.92	1	1	3	27.72	0	37.933743333333	-122.32675850000	162.9	22	65	1
58098.734	26.92	1	1	3	27.72	0	37.933743333333	-122.32675850000	162.9	22	65	1
58098.785	26.94	1	1	3	27.72	0	37.933743333333	-122.32675850000	162.9	22	65	1
58098.834	26.94	1	1	3	27.72	0	37.933697000000	-122.32673966667	162.2	22	65	1
58098.884	26.92	1	1	3	27.72	0	37.933697000000	-122.32673966667	162.2	22	65	1
58098.933	26.92	1	1	3	27.72	0	37.933697000000	-122.32673966667	162.2	22	65	1
58098.985	26.94	1	1	3	27.72	0	37.933697000000	-122.32673966667	162.2	22	65	1
58099.033	26.94	1	1	3	27.72	0	37.933651000000	-122.32672033333	161.7	22	65	1
58099.084	26.94	1	1	3	27.72	0	37.933651000000	-122.32672033333	161.7	22	65	1
58099.134	26.94	1	1	3	27.72	0	37.933651000000	-122.32672033333	161.7	22	65	1
58099.185	26.97	1	1	3	27.72	0	37.933605166667	-122.32670016667	160.9	22	65	1
58099.233	26.97	1	1	3	27.72	0	37.933605166667	-122.32670016667	160.9	22	65	1
58099.284	26.97	1	1	3	27.72	0	37.933605166667	-122.32670016667	160.9	22	65	1
58099.334	26.97	1	1	3	27.72	0	37.933605166667	-122.32670016667	160.9	22	65	1
58099.385	26.89	1	1	3	27.72	0	37.933605166667	-122.32670016667	160.9	22	65	1
58099.434	26.89	1	1	3	27.72	0	37.933559333333	-122.32667933333	160.3	22	65	1
58099.484	26.89	1	1	3	27.72	0	37.933559333333	-122.32667933333	160.3	22	65	1
58099.534	26.89	1	1	3	27.72	0	37.933559333333	-122.32667933333	160.3	22	65	1
58099.586	26.94	1	1	3	27.72	0	37.933514000000	-122.32665800000	159.6	22	65	1
58099.634	26.94	1	1	3	27.72	0	37.933514000000	-122.32665800000	159.6	22	65	1
58099.684	26.89	1	1	3	27.72	0	37.933514000000	-122.32665800000	159.6	27	65	1
58099.734	26.89	1	1	3	27.72	0	37.933514000000	-122.32665800000	159.6	27	65	1
58099.786	26.89	1	1	3	27.72	45.299999	37.933514000000	-122.32665800000	159.6	27	65	1
58099.834	26.89	1	1	3	27.72	45.299999	37.933468666667	-122.32663600000	159.1	27	65	1
58099.885	26.89	1	1	3	27.72	45.5	37.933468666667	-122.32663600000	159.1	27	65	1
58099.935	26.89	1	1	3	27.72	45.5	37.933468666667	-122.32663600000	159.1	27	65	1
58099.986	26.92	1	1	3	27.72	45.599998	37.933468666667	-122.32663600000	159.1	27	65	1
58100.035	26.92	1	1	3	27.72	45.599998	37.933423666667	-122.32661333333	158.3	27	65	1
58100.085	26.83	1	1	3	27.72	45.799999	37.933423666667	-122.32661333333	158.3	27	65	1
58100.135	26.83	1	1	3	27.72	45.799999	37.933423666667	-122.32661333333	158.3	27	65	1
58100.186	26.78	1	1	3	27.72	45.900002	37.933379000000	-122.32659000000	157.6	27	65	1
58100.235	26.78	1	1	3	27.72	45.900002	37.933379000000	-122.32659000000	157.6	27	65	1
58100.285	26.81	1	1	3	27.72	46.200001	37.933379000000	-122.32659000000	157.6	27	65	1
58100.335	26.81	1	1	3	27.72	46.200001	37.933379000000	-122.32659000000	157.6	27	65	1
58100.386	26.81	1	1	3	27.72	46.299999	37.933334500000	-122.32656600000	157.0	27	65	1
58100.435	26.81	1	1	3	27.72	46.299999	37.933334500000	-122.32656600000	157.0	27	65	1
58100.485	26.72	1	1	3	27.72	46.599998	37.933334500000	-122.32656600000	157.0	27	65	1
58100.535	26.72	1	1	3	27.72	46.799999	37.933334500000	-122.32656600000	157.0	27	65	1
58100.586	26.69	1	1	3	27.72	46.799999	37.933334500000	-122.32656600000	157.0	27	65	1
58100.635	26.69	1	1	3	27.72	46.799999	37.933290166667	-122.32654166667	156.6	27	65	1
58100.685	26.81	1	1	3	27.72	46.900002	37.933290166667	-122.32654166667	156.6	27	65	1
58100.735	26.81	1	1	3	27.72	47.099998	37.933290166667	-122.32654166667	156.6	27	65	1
58100.786	26.78	1	1	3	27.72	47.099998	37.933290166667	-122.32654166667	156.6	27	65	1
58100.835	26.78	1	1	3	27.72	47.099998	37.933246166667	-122.32651666667	155.9	27	65	1
58100.885	26.72	1	1	3	27.72	47.299999	37.933246166667	-122.32651666667	155.9	27	65	1
58100.935	26.72	1	1	3	27.72	47.400002	37.933246166667	-122.32651666667	155.9	27	65	1
58100.986	26.72	1	1	3	27.72	47.400002	37.933246166667	-122.32651666667	155.9	27	65	1
58101.034	26.72	1	1	3	27.72	47.400002	37.933202500000	-122.32649100000	155.1	27	65	1
